nohup: ignoring input
[ Info: Progress 9.2% | step 752/8192 | elapsed 00:02:19 | remaining ≈ 00:22:56
[ Info: Progress 9.5% | step 780/8192 | elapsed 00:02:24 | remaining ≈ 00:22:52
[ Info: Progress 9.9% | step 808/8192 | elapsed 00:02:29 | remaining ≈ 00:22:46
[ Info: Progress 10.2% | step 836/8192 | elapsed 00:02:34 | remaining ≈ 00:22:39
[ Info: Progress 10.5% | step 864/8192 | elapsed 00:02:40 | remaining ≈ 00:22:33
[ Info: Progress 10.9% | step 891/8192 | elapsed 00:02:45 | remaining ≈ 00:22:30
[ Info: Progress 11.2% | step 919/8192 | elapsed 00:02:50 | remaining ≈ 00:22:24
[ Info: Progress 11.6% | step 947/8192 | elapsed 00:02:55 | remaining ≈ 00:22:18
[ Info: Progress 11.9% | step 975/8192 | elapsed 00:03:00 | remaining ≈ 00:22:15
[ Info: Progress 12.2% | step 1003/8192 | elapsed 00:03:05 | remaining ≈ 00:22:09
[ Info: Progress 12.6% | step 1031/8192 | elapsed 00:03:10 | remaining ≈ 00:22:02
[ Info: Progress 12.9% | step 1059/8192 | elapsed 00:03:15 | remaining ≈ 00:21:57
[ Info: Progress 13.2% | step 1085/8192 | elapsed 00:03:21 | remaining ≈ 00:21:54
[ Info: Progress 13.6% | step 1113/8192 | elapsed 00:03:26 | remaining ≈ 00:21:48
[ Info: Progress 13.9% | step 1142/8192 | elapsed 00:03:31 | remaining ≈ 00:21:41
[ Info: Progress 14.3% | step 1170/8192 | elapsed 00:03:36 | remaining ≈ 00:21:35
[ Info: Progress 14.6% | step 1198/8192 | elapsed 00:03:41 | remaining ≈ 00:21:29
[ Info: Progress 15.0% | step 1227/8192 | elapsed 00:03:46 | remaining ≈ 00:21:25
[ Info: Progress 15.3% | step 1254/8192 | elapsed 00:03:52 | remaining ≈ 00:21:21
[ Info: Progress 15.6% | step 1282/8192 | elapsed 00:03:57 | remaining ≈ 00:21:15
[ Info: Progress 16.0% | step 1311/8192 | elapsed 00:04:02 | remaining ≈ 00:21:09
[ Info: Progress 16.3% | step 1338/8192 | elapsed 00:04:07 | remaining ≈ 00:21:05
[ Info: Progress 16.7% | step 1367/8192 | elapsed 00:04:12 | remaining ≈ 00:20:59
[ Info: Progress 17.0% | step 1395/8192 | elapsed 00:04:17 | remaining ≈ 00:20:53
[ Info: Progress 17.4% | step 1422/8192 | elapsed 00:04:22 | remaining ≈ 00:20:50
[ Info: Progress 17.7% | step 1451/8192 | elapsed 00:04:28 | remaining ≈ 00:20:43
[ Info: Progress 18.1% | step 1480/8192 | elapsed 00:04:33 | remaining ≈ 00:20:36
[ Info: Progress 18.4% | step 1509/8192 | elapsed 00:04:38 | remaining ≈ 00:20:32
[ Info: Progress 18.8% | step 1538/8192 | elapsed 00:04:43 | remaining ≈ 00:20:25
